Mark,Level,SIZE,VERTICAL,TIES 1,TIES 2,TIES 3,TYPE,PSI,LAP,COUPLER,DOWELS
29,LEVEL 03,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
29,LEVEL 04,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
29,LEVEL 05,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
29,LEVEL 06,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
29,LEVEL 07,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
29,LEVEL 08,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
29,LEVEL 09,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
29,LEVEL 10,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
29,LEVEL 11,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
29,LEVEL 12,"30"" dia",10 - #8,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
3,LEVEL 01,8 x 36,6 - #7,"#3 @ 6""","#3 @ 8""","#3 @ 6""",6R,,,,
30,LEVEL 01,24 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
30,LEVEL 02,20 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
30,LEVEL 03,20 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
30,LEVEL 04,20 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
30,LEVEL 05,20 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
30,LEVEL 06,20 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
30,LEVEL 07,20 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
30,LEVEL 08,20 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
30,LEVEL 09,20 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
30,LEVEL 10,20 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
30,LEVEL 11,20 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
30,LEVEL 12,20 x 36,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
31,LEVEL 01,24 x 30,6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
31,LEVEL 02,18 x 72,12 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
31,LEVEL 03,18 x 72,12 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
31,LEVEL 04,18 x 72,12 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
31,LEVEL 05,18 x 72,12 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
31,LEVEL 06,18 x 72,12 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
31,LEVEL 07,18 x 72,12 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
31,LEVEL 08,18 x 72,12 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
31,LEVEL 09,18 x 72,12 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
31,LEVEL 10,18 x 72,12 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
31,LEVEL 11,18 x 72,16 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",16R,,,,
32,LEVEL 01,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
33,LEVEL 01,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
34,LEVEL 01,"36"" dia",10 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","36"" dia",,,,
34,LEVEL 02,"36"" dia",10 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","36"" dia",,,,
34,LEVEL 03,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
34,LEVEL 04,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
34,LEVEL 05,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
34,LEVEL 06,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
34,LEVEL 07,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
34,LEVEL 08,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
34,LEVEL 09,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
34,LEVEL 10,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
34,LEVEL 11,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
34,LEVEL 12,"30"" dia",10 - #8,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
35,LEVEL 01,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
36,LEVEL 01,16 x 30,8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
37,LEVEL 01,24 x 36,8 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
37,LEVEL 02,"36"" dia",10 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","36"" dia",,,,
37,LEVEL 03,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
37,LEVEL 04,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
37,LEVEL 05,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
37,LEVEL 06,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
37,LEVEL 07,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
37,LEVEL 08,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
37,LEVEL 09,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
37,LEVEL 10,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
37,LEVEL 11,"30"" dia",6 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
37,LEVEL 12,"30"" dia",10 - #8,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
38,LEVEL 01,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
39,LEVEL 01,14 x 24,6 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",6R,,,,
4,LEVEL 01,12 x 56,14 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",14ARC,,,,
40,LEVEL 01,14 x 24,12 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""",12R,,,,
41,LEVEL 01,"30"" dia",8 - #9,"#3 @ 6""","#3 @ 12""","#3 @ 6""","30"" dia",,,,
42,LEVEL 01,16 x 30,8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
43,LEVEL 01,16 x 30,8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
44,LEVEL 01,16 x 30,8 - #7,"#3 @ 6""","#3 @ 12""","#3 @ 6""",8R,,,,
45,LEVEL 01,"36"" dia",10 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","36"" dia",,,,
45,LEVEL 02,"36"" dia",10 - #10,"#3 @ 6""","#3 @ 12""","#3 @ 6""","36"" dia",,,,
